SST,pCO2
16.347,365.563
16.351,365.015
16.354,363.968
16.353,362.623
16.352,361.48
16.352,360.821
16.359,360.63
16.361,364.183
16.344,365.433
16.313,365.266
16.286,368.481
16.229,367.999
16.218,368.709
16.209,369.316
16.174,369.657
16.178,371.821
16.199,374.393
16.188,364.091
16.186,366.607
16.194,365.242
16.192,365.111
16.188,362.978
16.189,364.142
16.185,366.212
16.18,365.326
16.174,364.681
16.172,362.006
16.163,363.041
16.158,362.589
16.161,364.266
16.135,365.478
16.122,366.503
16.118,366.956
16.151,364.993
16.173,364.352
16.139,364.566
16.777,365.915
16.729,367.932
16.654,369.849
16.604,368.446
16.452,368.1
16.339,371.54
16.344,367.938
16.247,363.947
16.231,362.792
16.344,362.985
16.422,365.758
16.497,363.198
16.536,361.189
16.548,361.143
16.584,364.139
16.605,365.736
16.635,362.95
16.645,361.905
16.666,361.242
17.054,367.868
17.022,368.594
17.03,369.503
17.027,370.345
17.031,372.061
17.025,369.552
17.031,364.747
17.032,364.132
17.026,363.399
17.045,364.869
17.039,366.888
17.047,368.189
17.044,368.639
17.007,366.009
16.965,369.122
16.92,367.302
16.914,367.915
16.943,364.311
16.959,361.328
16.811,364.936
16.772,367.245
16.733,367.999
16.915,368.008
17.057,368.844
17.176,369.107
17.298,366.011
17.391,363.62
17.475,362.767
17.529,362.029
17.551,362.671
17.562,362.633
17.57,364.839
17.594,366.54
17.626,367.933
17.675,368.389
17.724,368.244
17.735,365.167
17.735,367.442
17.662,369.744
17.698,366.647
17.716,366.109
17.756,367.114
17.769,369.169
17.79,369.183
17.798,367.46
17.837,367.36
17.868,367.981
17.918,366.994
17.95,366.755
17.974,366.411
17.988,367.081
17.968,368.335
17.967,368.876
17.95,367.447
17.922,366.986
17.91,368.395
17.913,368.403
17.705,371.53
17.72,371.848
17.745,372.941
17.803,374.961
17.84,373.251
17.851,371.808
17.859,373.432
17.862,374.137
17.849,374.001
17.855,374.015
17.878,372.029
17.871,372.467
17.888,375.188
17.91,374.117
17.871,372.228
17.847,372.892
17.852,372.451
17.825,371.68
17.835,371.748
17.763,371.432
17.762,371.67
17.769,370.941
17.765,371.02
17.768,370.75
17.764,373.32
17.771,374.775
17.75,373.643
17.743,372.48
17.735,373.52
17.74,372.508
17.742,372.115
17.727,370.013
17.713,369.295
17.709,367.772
17.698,368.253
17.7,368.593
17.707,369.135
17.715,370.285
17.882,372.365
17.871,370.976
17.872,373.04
17.867,372.972
17.866,372.035
17.864,371.905
17.862,371.382
17.861,370.947
17.853,371.119
17.854,372.059
17.851,372.635
17.859,371.414
17.856,369.962
17.869,371.256
18.048,370.928
18.153,370.09
18.212,369.063
18.246,368.231
18.254,369.743
18.282,367.778
18.275,368.139
18.277,370.569
18.278,371.867
18.266,369.569
18.275,369.916
18.286,371.019
18.298,369.58
18.314,368.279
18.313,369.5
18.3,368.362
18.292,369.823
18.299,370.623
18.292,372.178
18.301,371.682
18.293,369.331
18.309,370.884
18.317,372.102
18.316,373.214
18.378,372.945
18.378,371.148
18.364,372.578
18.348,373.375
18.302,375.191
18.245,373.344
18.229,373.223
18.234,372.56
18.255,371.035
18.255,372.828
18.262,374.895
18.267,372.985
18.261,371.342
18.244,371.102
18.217,370.697
18.181,373.137
18.189,374.039
18.238,373.471
18.236,372.04
17.731,365.835
17.769,364.311
17.74,365.88
17.749,369.782
17.745,369.732
17.749,369.445
17.74,366.965
17.755,366.385
17.743,364.752
17.736,365.996
17.756,366.248
17.738,368.169
17.742,370.64
17.738,366.737
17.745,363.91
17.742,362.252
17.751,364.444
17.753,365.917
17.766,367.017
17.969,367.761
17.93,367.346
17.923,366.551
17.903,371.568
17.905,372.625
17.865,370.231
17.842,371.482
17.807,372.066
17.792,369.39
17.802,368.047
17.803,365.076
17.8,363.692
17.821,363.344
17.848,364.451
17.869,365.797
17.859,364.797
17.864,367.86
17.864,369.244
17.868,367.426
17.987,367.947
17.962,366.331
17.953,366.753
17.951,367.176
17.95,365.643
17.955,365.35
18.067,365.894
18.179,365.725
18.249,365.923
19.589,361.43
19.626,360.738
19.647,360.715
19.663,360.873
19.679,360.557
